zhuo4 zhuò
zhuo3 zhuǒ
zhuo2 zhuó
zhuo1 zhuō
zhuo5 zhuo
zhuo0
zhuo
zhun4 zhùn
zhun3 zhǔn
zhun2 zhún
zhun1 zhūn
zhun5 zhun
zhun0
zhun
zhui4 zhuì
zhui3 zhuǐ
zhui2 zhuí
zhui1 zhuī
zhui5 zhui
zhui0
zhui
zhuang4 zhuàng
zhuang3 zhuǎng
zhuang2 zhuáng
zhuang1 zhuāng
zhuang5 zhuang
zhuang0
zhuang
zhuan4 zhuàn
zhuan3 zhuǎn
zhuan2 zhuán
zhuan1 zhuān
zhuan5 zhuan
zhuan0
zhuan
zhuai4 zhuài
zhuai3 zhuǎi
zhuai2 zhuái
zhuai1 zhuāi
zhuai5 zhuai
zhuai0
zhuai
zhua4 zhuà
zhua3 zhuǎ
zhua2 zhuá
zhua1 zhuā
zhua5 zhua
zhua0
zhua
zhu4 zhù
zhu3 zhǔ
zhu2 zhú
zhu1 zhū
zhu5 zhu
zhu0
zhu
zhou4 zhòu
zhou3 zhǒu
zhou2 zhóu
zhou1 zhōu
zhou5 zhou
zhou0
zhou
zhong4 zhòng
zhong3 zhǒng
zhong2 zhóng
zhong1 zhōng
zhong5 zhong
zhong0
zhong
zhi4 zhì
zhi3 zhǐ
zhi2 zhí
zhi1 zhī
zhi5 zhi
zhi0
zhi
zheng4 zhèng
zheng3 zhěng
zheng2 zhéng
zheng1 zhēng
zheng5 zheng
zheng0
zheng
zhen4 zhèn
zhen3 zhěn
zhen2 zhén
zhen1 zhēn
zhen5 zhen
zhen0
zhen
zhei4 zhèi
zhei3 zhěi
zhei2 zhéi
zhei1 zhēi
zhei5 zhei
zhei0
zhei
zhe4 zhè
zhe3 zhě
zhe2 zhé
zhe1 zhē
zhe5 zhe
zhe0
zhe
zhao4 zhào
zhao3 zhǎo
zhao2 zháo
zhao1 zhāo
zhao5 zhao
zhao0
zhao
zhang4 zhàng
zhang3 zhǎng
zhang2 zháng
zhang1 zhāng
zhang5 zhang
zhang0
zhang
zhan4 zhàn
zhan3 zhǎn
zhan2 zhán
zhan1 zhān
zhan5 zhan
zhan0
zhan
zhai4 zhài
zhai3 zhǎi
zhai2 zhái
zhai1 zhāi
zhai5 zhai
zhai0
zhai
zha4 zhà
zha3 zhǎ
zha2 zhá
zha1 zhā
zha5 zha
zha0
zha
zuo4 zuò
zuo3 zuǒ
zuo2 zuó
zuo1 zuō
zuo5 zuo
zuo0
zuo
zun4 zùn
zun3 zǔn
zun2 zún
zun1 zūn
zun5 zun
zun0
zun
zui4 zuì
zui3 zuǐ
zui2 zuí
zui1 zuī
zui5 zui
zui0
zui
zuan4 zuàn
zuan3 zuǎn
zuan2 zuán
zuan1 zuān
zuan5 zuan
zuan0
zuan
zu4 zù
zu3 zǔ
zu2 zú
zu1 zū
zu5 zu
zu0
zu
zou4 zòu
zou3 zǒu
zou2 zóu
zou1 zōu
zou5 zou
zou0
zou
zong4 zòng
zong3 zǒng
zong2 zóng
zong1 zōng
zong5 zong
zong0
zong
zi4 zì
zi3 zǐ
zi2 zí
zi1 zī
zi5 zi
zi0
zi
zeng4 zèng
zeng3 zěng
zeng2 zéng
zeng1 zēng
zeng5 zeng
zeng0
zeng
zen4 zèn
zen3 zěn
zen2 zén
zen1 zēn
zen5 zen
zen0
zen
zei4 zèi
zei3 zěi
zei2 zéi
zei1 zēi
zei5 zei
zei0
zei
ze4 zè
ze3 zě
ze2 zé
ze1 zē
ze5 ze
ze0
ze
zao4 zào
zao3 zǎo
zao2 záo
zao1 zāo
zao5 zao
zao0
zao
zang4 zàng
zang3 zǎng
zang2 záng
zang1 zāng
zang5 zang
zang0
zang
zan4 zàn
zan3 zǎn
zan2 zán
zan1 zān
zan5 zan
zan0
zan
zai4 zài
zai3 zǎi
zai2 zái
zai1 zāi
zai5 zai
zai0
zai
za4 zà
za3 zǎ
za2 zá
za1 zā
za5 za
za0
za
yun4 yùn
yun3 yǔn
yun2 yún
yun1 yūn
yun5 yun
yun0
yun
yue4 yuè
yue3 yuě
yue2 yué
yue1 yuē
yue5 yue
yue0
yue
yuan4 yuàn
yuan3 yuǎn
yuan2 yuán
yuan1 yuān
yuan5 yuan
yuan0
yuan
yu4 yù
yu3 yǔ
yu2 yú
yu1 yū
yu5 yu
yu0
yu
you4 yòu
you3 yǒu
you2 yóu
you1 yōu
you5 you
you0
you
yong4 yòng
yong3 yǒng
yong2 yóng
yong1 yōng
yong5 yong
yong0
yong
ying4 yìng
ying3 yǐng
ying2 yíng
ying1 yīng
ying5 ying
ying0
ying
yin4 yìn
yin3 yǐn
yin2 yín
yin1 yīn
yin5 yin
yin0
yin
yi4 yì
yi3 yǐ
yi2 yí
yi1 yī
yi5 yi
yi0
yi
ye4 yè
ye3 yě
ye2 yé
ye1 yē
ye5 ye
ye0
ye
yao4 yào
yao3 yǎo
yao2 yáo
yao1 yāo
yao5 yao
yao0
yao
yang4 yàng
yang3 yǎng
yang2 yáng
yang1 yāng
yang5 yang
yang0
yang
yan4 yàn
yan3 yǎn
yan2 yán
yan1 yān
yan5 yan
yan0
yan
yai4 yài
yai3 yǎi
yai2 yái
yai1 yāi
yai5 yai
yai0
yai
ya4 yà
ya3 yǎ
ya2 yá
ya1 yā
ya5 ya
ya0
ya
xun4 xùn
xun3 xǔn
xun2 xún
xun1 xūn
xun5 xun
xun0
xun
xue4 xuè
xue3 xuě
xue2 xué
xue1 xuē
xue5 xue
xue0
xue
xuan4 xuàn
xuan3 xuǎn
xuan2 xuán
xuan1 xuān
xuan5 xuan
xuan0
xuan
xu4 xù
xu3 xǔ
xu2 xú
xu1 xū
xu5 xu
xu0
xu
xiu4 xiù
xiu3 xiǔ
xiu2 xiú
xiu1 xiū
xiu5 xiu
xiu0
xiu
xiong4 xiòng
xiong3 xiǒng
xiong2 xióng
xiong1 xiōng
xiong5 xiong
xiong0
xiong
xing4 xìng
xing3 xǐng
xing2 xíng
xing1 xīng
xing5 xing
xing0
xing
xin4 xìn
xin3 xǐn
xin2 xín
xin1 xīn
xin5 xin
xin0
xin
xie4 xiè
xie3 xiě
xie2 xié
xie1 xiē
xie5 xie
xie0
xie
xiao4 xiào
xiao3 xiǎo
xiao2 xiáo
xiao1 xiāo
xiao5 xiao
xiao0
xiao
xiang4 xiàng
xiang3 xiǎng
xiang2 xiáng
xiang1 xiāng
xiang5 xiang
xiang0
xiang
xian4 xiàn
xian3 xiǎn
xian2 xián
xian1 xiān
xian5 xian
xian0
xian
xia4 xià
xia3 xiǎ
xia2 xiá
xia1 xiā
xia5 xia
xia0
xia
xi4 xì
xi3 xǐ
xi2 xí
xi1 xī
xi5 xi
xi0
xi
wu4 wù
wu3 wǔ
wu2 wú
wu1 wū
wu5 wu
wu0
wu
wo4 wò
wo3 wǒ
wo2 wó
wo1 wō
wo5 wo
wo0
wo
weng4 wèng
weng3 wěng
weng2 wéng
weng1 wēng
weng5 weng
weng0
weng
wen4 wèn
wen3 wěn
wen2 wén
wen1 wēn
wen5 wen
wen0
wen
wei4 wèi
wei3 wěi
wei2 wéi
wei1 wēi
wei5 wei
wei0
wei
wang4 wàng
wang3 wǎng
wang2 wáng
wang1 wāng
wang5 wang
wang0
wang
wan4 wàn
wan3 wǎn
wan2 wán
wan1 wān
wan5 wan
wan0
wan
wai4 wài
wai3 wǎi
wai2 wái
wai1 wāi
wai5 wai
wai0
wai
wa4 wà
wa3 wǎ
wa2 wá
wa1 wā
wa5 wa
wa0
wa
tuo4 tuò
tuo3 tuǒ
tuo2 tuó
tuo1 tuō
tuo5 tuo
tuo0
tuo
tun4 tùn
tun3 tǔn
tun2 tún
tun1 tūn
tun5 tun
tun0
tun
tui4 tuì
tui3 tuǐ
tui2 tuí
tui1 tuī
tui5 tui
tui0
tui
tuan4 tuàn
tuan3 tuǎn
tuan2 tuán
tuan1 tuān
tuan5 tuan
tuan0
tuan
tu4 tù
tu3 tǔ
tu2 tú
tu1 tū
tu5 tu
tu0
tu
tou4 tòu
tou3 tǒu
tou2 tóu
tou1 tōu
tou5 tou
tou0
tou
tong4 tòng
tong3 tǒng
tong2 tóng
tong1 tōng
tong5 tong
tong0
tong
ting4 tìng
ting3 tǐng
ting2 tíng
ting1 tīng
ting5 ting
ting0
ting
tie4 tiè
tie3 tiě
tie2 tié
tie1 tiē
tie5 tie
tie0
tie
tiao4 tiào
tiao3 tiǎo
tiao2 tiáo
tiao1 tiāo
tiao5 tiao
tiao0
tiao
tian4 tiàn
tian3 tiǎn
tian2 tián
tian1 tiān
tian5 tian
tian0
tian
ti4 tì
ti3 tǐ
ti2 tí
ti1 tī
ti5 ti
ti0
ti
teng4 tèng
teng3 těng
teng2 téng
teng1 tēng
teng5 teng
teng0
teng
te4 tè
te3 tě
te2 té
te1 tē
te5 te
te0
te
tao4 tào
tao3 tǎo
tao2 táo
tao1 tāo
tao5 tao
tao0
tao
tang4 tàng
tang3 tǎng
tang2 táng
tang1 tāng
tang5 tang
tang0
tang
tan4 tàn
tan3 tǎn
tan2 tán
tan1 tān
tan5 tan
tan0
tan
tai4 tài
tai3 tǎi
tai2 tái
tai1 tāi
tai5 tai
tai0
tai
ta4 tà
ta3 tǎ
ta2 tá
ta1 tā
ta5 ta
ta0
ta
shuo4 shuò
shuo3 shuǒ
shuo2 shuó
shuo1 shuō
shuo5 shuo
shuo0
shuo
shun4 shùn
shun3 shǔn
shun2 shún
shun1 shūn
shun5 shun
shun0
shun
shui4 shuì
shui3 shuǐ
shui2 shuí
shui1 shuī
shui5 shui
shui0
shui
shuang4 shuàng
shuang3 shuǎng
shuang2 shuáng
shuang1 shuāng
shuang5 shuang
shuang0
shuang
shuan4 shuàn
shuan3 shuǎn
shuan2 shuán
shuan1 shuān
shuan5 shuan
shuan0
shuan
shuai4 shuài
shuai3 shuǎi
shuai2 shuái
shuai1 shuāi
shuai5 shuai
shuai0
shuai
shua4 shuà
shua3 shuǎ
shua2 shuá
shua1 shuā
shua5 shua
shua0
shua
shu4 shù
shu3 shǔ
shu2 shú
shu1 shū
shu5 shu
shu0
shu
shou4 shòu
shou3 shǒu
shou2 shóu
shou1 shōu
shou5 shou
shou0
shou
shi4 shì
shi3 shǐ
shi2 shí
shi1 shī
shi5 shi
shi0
shi
sheng4 shèng
sheng3 shěng
sheng2 shéng
sheng1 shēng
sheng5 sheng
sheng0
sheng
shen4 shèn
shen3 shěn
shen2 shén
shen1 shēn
shen5 shen
shen0
shen
shei4 shèi
shei3 shěi
shei2 shéi
shei1 shēi
shei5 shei
shei0
shei
she4 shè
she3 shě
she2 shé
she1 shē
she5 she
she0
she
shao4 shào
shao3 shǎo
shao2 sháo
shao1 shāo
shao5 shao
shao0
shao
shang4 shàng
shang3 shǎng
shang2 sháng
shang1 shāng
shang5 shang
shang0
shang
shan4 shàn
shan3 shǎn
shan2 shán
shan1 shān
shan5 shan
shan0
shan
shai4 shài
shai3 shǎi
shai2 shái
shai1 shāi
shai5 shai
shai0
shai
sha4 shà
sha3 shǎ
sha2 shá
sha1 shā
sha5 sha
sha0
sha
suo4 suò
suo3 suǒ
suo2 suó
suo1 suō
suo5 suo
suo0
suo
sun4 sùn
sun3 sǔn
sun2 sún
sun1 sūn
sun5 sun
sun0
sun
sui4 suì
sui3 suǐ
sui2 suí
sui1 suī
sui5 sui
sui0
sui
suan4 suàn
suan3 suǎn
suan2 suán
suan1 suān
suan5 suan
suan0
suan
su4 sù
su3 sǔ
su2 sú
su1 sū
su5 su
su0
su
sou4 sòu
sou3 sǒu
sou2 sóu
sou1 sōu
sou5 sou
sou0
sou
song4 sòng
song3 sǒng
song2 sóng
song1 sōng
song5 song
song0
song
si4 sì
si3 sǐ
si2 sí
si1 sī
si5 si
si0
si
seng4 sèng
seng3 sěng
seng2 séng
seng1 sēng
seng5 seng
seng0
seng
sen4 sèn
sen3 sěn
sen2 sén
sen1 sēn
sen5 sen
sen0
sen
se4 sè
se3 sě
se2 sé
se1 sē
se5 se
se0
se
sao4 sào
sao3 sǎo
sao2 sáo
sao1 sāo
sao5 sao
sao0
sao
sang4 sàng
sang3 sǎng
sang2 sáng
sang1 sāng
sang5 sang
sang0
sang
san4 sàn
san3 sǎn
san2 sán
san1 sān
san5 san
san0
san
sai4 sài
sai3 sǎi
sai2 sái
sai1 sāi
sai5 sai
sai0
sai
sa4 sà
sa3 sǎ
sa2 sá
sa1 sā
sa5 sa
sa0
sa
ruo4 ruò
ruo3 ruǒ
ruo2 ruó
ruo1 ruō
ruo5 ruo
ruo0
ruo
run4 rùn
run3 rǔn
run2 rún
run1 rūn
run5 run
run0
run
rui4 ruì
rui3 ruǐ
rui2 ruí
rui1 ruī
rui5 rui
rui0
rui
ruan4 ruàn
ruan3 ruǎn
ruan2 ruán
ruan1 ruān
ruan5 ruan
ruan0
ruan
ru4 rù
ru3 rǔ
ru2 rú
ru1 rū
ru5 ru
ru0
ru
rou4 ròu
rou3 rǒu
rou2 róu
rou1 rōu
rou5 rou
rou0
rou
rong4 ròng
rong3 rǒng
rong2 róng
rong1 rōng
rong5 rong
rong0
rong
ri4 rì
ri3 rǐ
ri2 rí
ri1 rī
ri5 ri
ri0
ri
reng4 rèng
reng3 rěng
reng2 réng
reng1 rēng
reng5 reng
reng0
reng
ren4 rèn
ren3 rěn
ren2 rén
ren1 rēn
ren5 ren
ren0
ren
re4 rè
re3 rě
re2 ré
re1 rē
re5 re
re0
re
rao4 rào
rao3 rǎo
rao2 ráo
rao1 rāo
rao5 rao
rao0
rao
rang4 ràng
rang3 rǎng
rang2 ráng
rang1 rāng
rang5 rang
rang0
rang
ran4 ràn
ran3 rǎn
ran2 rán
ran1 rān
ran5 ran
ran0
ran
qun4 qùn
qun3 qǔn
qun2 qún
qun1 qūn
qun5 qun
qun0
qun
que4 què
que3 quě
que2 qué
que1 quē
que5 que
que0
que
quan4 quàn
quan3 quǎn
quan2 quán
quan1 quān
quan5 quan
quan0
quan
qu4 qù
qu3 qǔ
qu2 qú
qu1 qū
qu5 qu
qu0
qu
qiu4 qiù
qiu3 qiǔ
qiu2 qiú
qiu1 qiū
qiu5 qiu
qiu0
qiu
qiong4 qiòng
qiong3 qiǒng
qiong2 qióng
qiong1 qiōng
qiong5 qiong
qiong0
qiong
qing4 qìng
qing3 qǐng
qing2 qíng
qing1 qīng
qing5 qing
qing0
qing
qin4 qìn
qin3 qǐn
qin2 qín
qin1 qīn
qin5 qin
qin0
qin
qie4 qiè
qie3 qiě
qie2 qié
qie1 qiē
qie5 qie
qie0
qie
qiao4 qiào
qiao3 qiǎo
qiao2 qiáo
qiao1 qiāo
qiao5 qiao
qiao0
qiao
qiang4 qiàng
qiang3 qiǎng
qiang2 qiáng
qiang1 qiāng
qiang5 qiang
qiang0
qiang
qian4 qiàn
qian3 qiǎn
qian2 qián
qian1 qiān
qian5 qian
qian0
qian
qia4 qià
qia3 qiǎ
qia2 qiá
qia1 qiā
qia5 qia
qia0
qia
qi4 qì
qi3 qǐ
qi2 qí
qi1 qī
qi5 qi
qi0
qi
pu4 pù
pu3 pǔ
pu2 pú
pu1 pū
pu5 pu
pu0
pu
pou4 pòu
pou3 pǒu
pou2 póu
pou1 pōu
pou5 pou
pou0
pou
po4 pò
po3 pǒ
po2 pó
po1 pō
po5 po
po0
po
ping4 pìng
ping3 pǐng
ping2 píng
ping1 pīng
ping5 ping
ping0
ping
pin4 pìn
pin3 pǐn
pin2 pín
pin1 pīn
pin5 pin
pin0
pin
pie4 piè
pie3 piě
pie2 pié
pie1 piē
pie5 pie
pie0
pie
piao4 piào
piao3 piǎo
piao2 piáo
piao1 piāo
piao5 piao
piao0
piao
pian4 piàn
pian3 piǎn
pian2 pián
pian1 piān
pian5 pian
pian0
pian
pi4 pì
pi3 pǐ
pi2 pí
pi1 pī
pi5 pi
pi0
pi
peng4 pèng
peng3 pěng
peng2 péng
peng1 pēng
peng5 peng
peng0
peng
pen4 pèn
pen3 pěn
pen2 pén
pen1 pēn
pen5 pen
pen0
pen
pei4 pèi
pei3 pěi
pei2 péi
pei1 pēi
pei5 pei
pei0
pei
pao4 pào
pao3 pǎo
pao2 páo
pao1 pāo
pao5 pao
pao0
pao
pang4 pàng
pang3 pǎng
pang2 páng
pang1 pāng
pang5 pang
pang0
pang
pan4 pàn
pan3 pǎn
pan2 pán
pan1 pān
pan5 pan
pan0
pan
pai4 pài
pai3 pǎi
pai2 pái
pai1 pāi
pai5 pai
pai0
pai
pa4 pà
pa3 pǎ
pa2 pá
pa1 pā
pa5 pa
pa0
pa
ou4 òu
ou3 ǒu
ou2 óu
ou1 ōu
ou5 ou
ou0
ou
o4 ò
o3 ǒ
o2 ó
o1 ō
o5 o
o0
o
nyu4 nǜ
nv4
nu:4
nü4
nyu3 nǚ
nv3
nu:3
nü3
nyu2 nǘ
nv2
nu:2
nü2
nyu1 nǖ
nv1
nu:1
nü1
nyu5 nü
nyu0
nyu
nv5
nv0
nv
nu:5
nu:0
nu:
nü5
nü0
nü
nuo4 nuò
nuo3 nuǒ
nuo2 nuó
nuo1 nuō
nuo5 nuo
nuo0
nuo
nue4 nuè
nue3 nuě
nue2 nué
nue1 nuē
nue5 nue
nue0
nue
nuan4 nuàn
nuan3 nuǎn
nuan2 nuán
nuan1 nuān
nuan5 nuan
nuan0
nuan
nu4 nù
nu3 nǔ
nu2 nú
nu1 nū
nu5 nu
nu0
nu
nou4 nòu
nou3 nǒu
nou2 nóu
nou1 nōu
nou5 nou
nou0
nou
nong4 nòng
nong3 nǒng
nong2 nóng
nong1 nōng
nong5 nong
nong0
nong
niu4 niù
niu3 niǔ
niu2 niú
niu1 niū
niu5 niu
niu0
niu
ning4 nìng
ning3 nǐng
ning2 níng
ning1 nīng
ning5 ning
ning0
ning
nin4 nìn
nin3 nǐn
nin2 nín
nin1 nīn
nin5 nin
nin0
nin
nie4 niè
nie3 niě
nie2 nié
nie1 niē
nie5 nie
nie0
nie
niao4 niào
niao3 niǎo
niao2 niáo
niao1 niāo
niao5 niao
niao0
niao
niang4 niàng
niang3 niǎng
niang2 niáng
niang1 niāng
niang5 niang
niang0
niang
nian4 niàn
nian3 niǎn
nian2 nián
nian1 niān
nian5 nian
nian0
nian
ni4 nì
ni3 nǐ
ni2 ní
ni1 nī
ni5 ni
ni0
ni
neng4 nèng
neng3 něng
neng2 néng
neng1 nēng
neng5 neng
neng0
neng
nen4 nèn
nen3 něn
nen2 nén
nen1 nēn
nen5 nen
nen0
nen
nei4 nèi
nei3 něi
nei2 néi
nei1 nēi
nei5 nei
nei0
nei
ne4 nè
ne3 ně
ne2 né
ne1 nē
ne5 ne
ne0
ne
nao4 nào
nao3 nǎo
nao2 náo
nao1 nāo
nao5 nao
nao0
nao
nang4 nàng
